method,model,eval_set,threshold,coverage,precision,recall,macro_f1,accuracy,n_pred_classes,n_pred_neutral,n_auto,n_human,human_cost_usd,valid
few_shot,claude-haiku-4-5-20251001,balanced,0.0,1.0,0.7805,0.7733,0.7587,0.7733,3,60,300,0,0.0,True
few_shot,claude-haiku-4-5-20251001,balanced,0.7,1.0,0.7805,0.7733,0.7587,0.7733,3,60,300,0,0.0,True
few_shot,claude-haiku-4-5-20251001,balanced,0.75,0.987,0.7916,0.7843,0.7689,0.7838,3,59,296,4,0.83,True
few_shot,claude-haiku-4-5-20251001,balanced,0.8,0.85,0.8495,0.8043,0.8022,0.8353,3,37,255,45,9.38,True
few_shot,claude-haiku-4-5-20251001,balanced,0.85,0.813,0.8775,0.832,0.8392,0.8689,3,37,244,56,11.67,True
few_shot,claude-haiku-4-5-20251001,balanced,0.9,0.53,0.9828,0.7778,0.8246,0.9748,3,2,159,141,29.38,True
few_shot,claude-haiku-4-5-20251001,balanced,0.95,0.233,0.6591,0.6667,0.6628,0.9857,2,0,70,230,47.92,False
few_shot,gpt-oss-120b,balanced,0.0,1.0,0.7729,0.7658,0.7475,0.7669,3,55,296,0,0.0,True
few_shot,gpt-oss-120b,balanced,0.7,0.98,0.7722,0.7608,0.7417,0.7655,3,50,290,6,1.25,True
few_shot,gpt-oss-120b,balanced,0.75,0.98,0.7722,0.7608,0.7417,0.7655,3,50,290,6,1.25,True
few_shot,gpt-oss-120b,balanced,0.8,0.74,0.8188,0.6965,0.6607,0.8128,3,6,219,77,16.04,True
few_shot,gpt-oss-120b,balanced,0.85,0.736,0.8076,0.6896,0.6496,0.8119,3,5,218,78,16.25,True
few_shot,gpt-oss-120b,balanced,0.9,0.598,0.9272,0.6833,0.6599,0.8927,3,1,177,119,24.79,True
few_shot,gpt-oss-120b,natural,0.0,1.0,0.7604,0.7681,0.7616,0.91,3,66,1000,0,0.0,True
few_shot,gpt-oss-120b,natural,0.7,0.989,0.7671,0.7629,0.7617,0.9161,3,58,989,11,2.29,True
few_shot,gpt-oss-120b,natural,0.75,0.989,0.7671,0.7629,0.7617,0.9161,3,58,989,11,2.29,True
few_shot,gpt-oss-120b,natural,0.8,0.882,0.7406,0.6786,0.6697,0.958,3,5,882,118,24.58,True
few_shot,gpt-oss-120b,natural,0.85,0.882,0.7406,0.6786,0.6697,0.958,3,5,882,118,24.58,True
few_shot,gpt-oss-120b,natural,0.9,0.806,0.963,0.6874,0.6926,0.9801,3,1,806,194,40.42,True
few_shot,gpt-oss-120b,natural,0.95,0.035,0.3333,0.3333,0.3333,1.0,1,0,35,965,201.04,False
few_shot,gpt-oss-20b,balanced,0.0,1.0,0.7999,0.8,0.7932,0.8,3,75,300,0,0.0,True
few_shot,gpt-oss-20b,balanced,0.7,0.997,0.8023,0.803,0.7959,0.8027,3,75,299,1,0.21,True
few_shot,gpt-oss-20b,balanced,0.75,0.997,0.8023,0.803,0.7959,0.8027,3,75,299,1,0.21,True
few_shot,gpt-oss-20b,balanced,0.8,0.763,0.86,0.7533,0.7458,0.8297,3,16,229,71,14.79,True
few_shot,gpt-oss-20b,balanced,0.85,0.717,0.8889,0.7459,0.7377,0.8419,3,11,215,85,17.71,True
