eval_set,method,model,n,both_correct,both_wrong,only_base,only_llm,err_jaccard,mcnemar_p,f1_delta,f1_ci_lo,f1_ci_hi,f1_significant,base_f1,llm_f1,oracle_f1,oracle_gain_f1,base_acc,llm_acc,oracle_acc,oracle_gain_acc
balanced,zero_shot,gpt-oss-20b,300,194,37,34,35,0.349,1.0,-0.0085,-0.0664,0.0488,False,0.7544,0.7454,0.8732,0.1189,0.76,0.7633,0.8767,0.1133
balanced,zero_shot,gpt-oss-120b,300,189,33,39,39,0.297,1.0,-0.0116,-0.0716,0.05,False,0.7544,0.7423,0.8875,0.1331,0.76,0.76,0.89,0.13
balanced,zero_shot,claude-haiku,300,190,31,38,41,0.282,0.82214,0.002,-0.061,0.0668,False,0.7544,0.7558,0.8942,0.1384,0.76,0.77,0.8967,0.1267
balanced,few_shot,gpt-oss-20b,300,198,30,30,42,0.294,0.19451,0.0394,-0.0202,0.0987,False,0.7544,0.7932,0.8986,0.1054,0.76,0.8,0.9,0.1
balanced,few_shot,gpt-oss-120b,296,192,34,35,35,0.327,1.0,-0.0132,-0.0759,0.0498,False,0.7609,0.7475,0.8814,0.1205,0.7669,0.7669,0.8851,0.1182
balanced,few_shot,claude-haiku,300,191,31,37,41,0.284,0.73434,0.0044,-0.057,0.0694,False,0.7544,0.7587,0.8941,0.1355,0.76,0.7733,0.8967,0.1233
natural,zero_shot,gpt-oss-20b,1000,788,63,39,110,0.297,0.0,0.0961,0.0491,0.1447,True,0.6538,0.7503,0.8405,0.0902,0.827,0.898,0.937,0.039
natural,zero_shot,gpt-oss-120b,1000,796,58,31,115,0.284,0.0,0.1068,0.0554,0.1567,True,0.6538,0.7606,0.845,0.0844,0.827,0.911,0.942,0.031
natural,zero_shot,claude-haiku,1000,798,56,29,117,0.277,0.0,0.1152,0.0675,0.1628,True,0.6538,0.769,0.8473,0.0783,0.827,0.915,0.944,0.029
natural,few_shot,gpt-oss-20b,1000,788,60,39,113,0.283,0.0,0.0927,0.0453,0.1417,True,0.6538,0.7471,0.8406,0.0935,0.827,0.901,0.94,0.039
natural,few_shot,gpt-oss-120b,1000,796,59,31,114,0.289,0.0,0.1077,0.0594,0.1564,True,0.6538,0.7616,0.8454,0.0838,0.827,0.91,0.941,0.031
