n_train,rep,model,eval_set,macro_f1,accuracy,f1_negative,f1_neutral,f1_positive,n_negative,n_neutral,n_positive
100,0,logreg,natural,0.3868,0.761,0.2523,0.0408,0.8673,14,8,78
100,0,logreg,balanced,0.2632,0.3767,0.2097,0.0571,0.5229,14,8,78
100,0,xgb,natural,0.3433,0.76,0.0978,0.0612,0.8708,14,8,78
100,0,xgb,balanced,0.2646,0.3767,0.1905,0.0748,0.5286,14,8,78
100,1,logreg,natural,0.4079,0.756,0.2523,0.1081,0.8633,14,8,78
100,1,logreg,balanced,0.3264,0.4067,0.3022,0.1379,0.5391,14,8,78
100,1,xgb,natural,0.3696,0.761,0.1376,0.1053,0.866,14,8,78
100,1,xgb,balanced,0.2411,0.3567,0.2137,0.0,0.5096,14,8,78
100,2,logreg,natural,0.3653,0.774,0.1768,0.0488,0.8705,14,8,78
100,2,logreg,balanced,0.2483,0.3767,0.2131,0.0,0.5319,14,8,78
100,2,xgb,natural,0.3299,0.769,0.0719,0.0465,0.8712,14,8,78
100,2,xgb,balanced,0.2145,0.3533,0.0571,0.0734,0.513,14,8,78
500,0,logreg,natural,0.4967,0.801,0.456,0.1414,0.8928,72,38,390
500,0,logreg,balanced,0.394,0.4733,0.4815,0.1091,0.5915,72,38,390
500,0,xgb,natural,0.3487,0.772,0.1711,0.0,0.875,72,38,390
500,0,xgb,balanced,0.235,0.3667,0.188,0.0,0.517,72,38,390
500,1,logreg,natural,0.4942,0.802,0.4774,0.1091,0.8962,72,38,390
500,1,logreg,balanced,0.4152,0.4767,0.4557,0.2034,0.5864,72,38,390
500,1,xgb,natural,0.3669,0.778,0.2211,0.0,0.8796,72,38,390
500,1,xgb,balanced,0.2293,0.36,0.1552,0.0196,0.5131,72,38,390
500,2,logreg,natural,0.4837,0.803,0.4774,0.0777,0.896,72,38,390
500,2,logreg,balanced,0.4173,0.4867,0.5212,0.1441,0.5864,72,38,390
500,2,xgb,natural,0.4093,0.786,0.2812,0.0667,0.8801,72,38,390
500,2,xgb,balanced,0.3066,0.4067,0.2903,0.0943,0.5351,72,38,390
2000,0,logreg,natural,0.5969,0.819,0.639,0.2446,0.907,288,152,1560
2000,0,logreg,balanced,0.5591,0.5867,0.6344,0.3885,0.6545,288,152,1560
2000,0,xgb,natural,0.4715,0.808,0.4074,0.1111,0.8961,288,152,1560
2000,0,xgb,balanced,0.349,0.4367,0.3889,0.0901,0.5681,288,152,1560
2000,1,logreg,natural,0.5761,0.822,0.6124,0.2016,0.9143,288,152,1560
2000,1,logreg,balanced,0.5446,0.5833,0.6316,0.3308,0.6715,288,152,1560
2000,1,xgb,natural,0.4832,0.814,0.4372,0.1149,0.8975,288,152,1560
2000,1,xgb,balanced,0.3536,0.4467,0.4615,0.0385,0.5609,288,152,1560
2000,2,logreg,natural,0.5703,0.815,0.6254,0.1778,0.9076,288,152,1560
2000,2,logreg,balanced,0.6138,0.6367,0.6631,0.4853,0.6931,288,152,1560
2000,2,xgb,natural,0.4599,0.811,0.4135,0.069,0.8974,288,152,1560
2000,2,xgb,balanced,0.3786,0.46,0.4552,0.1132,0.5673,288,152,1560
10000,0,logreg,natural,0.6506,0.831,0.7215,0.3195,0.9109,1439,761,7800
10000,0,logreg,balanced,0.7236,0.73,0.7789,0.642,0.75,1439,761,7800
10000,0,xgb,natural,0.5643,0.842,0.6016,0.1778,0.9135,1439,761,7800
10000,0,xgb,balanced,0.4939,0.5433,0.6329,0.2414,0.6074,1439,761,7800
10000,1,logreg,natural,0.6173,0.817,0.6562,0.2857,0.9101,1439,761,7800
10000,1,logreg,balanced,0.6721,0.6833,0.7282,0.5556,0.7325,1439,761,7800
10000,1,xgb,natural,0.5253,0.833,0.5551,0.1124,0.9086,1439,761,7800
10000,1,xgb,balanced,0.4326,0.5033,0.6013,0.1091,0.5875,1439,761,7800
10000,2,logreg,natural,0.6199,0.824,0.6894,0.2561,0.9141,1439,761,7800
10000,2,logreg,balanced,0.6864,0.7,0.7463,0.5641,0.749,1439,761,7800
10000,2,xgb,natural,0.5649,0.847,0.6475,0.1319,0.9153,1439,761,7800
10000,2,xgb,balanced,0.4405,0.51,0.6038,0.1308,0.5868,1439,761,7800
